Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
"Relative error of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births",3,E,Rate,0,Infant mortality (1q0) rates for five-year periods - relative error,CM_ECMT_C_IMX,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCIMX,,,,Infant mortality rate (5 year periods) - relative error,63166032,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births calculated as the infant mortality rate minus 2 standard errors",0,C,Rate,0,Infant mortality (1q0) rates for five-year periods - CI lower bound (-2SE),CM_ECMT_C_IML,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCIML,,,,Infant mortality rate (5 year periods) - CI lower bound (-2SE),63166033,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births calculated as the infant mortality rate plus 2 standard errors",0,C,Rate,0,Infant mortality (1q0) rates for five-year periods - CI upper bound (+2SE),CM_ECMT_C_IMU,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCIMU,,,,Infant mortality rate (5 year periods) - CI upper bound (+2SE),63166034,Per thousand children exposed in period in age group,,,,
"Probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday",0,I,Rate,0,Child mortality (4q1) rates for five-year periods,CM_ECMT_C_CMR,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCCMR,70254003,75,,Child mortality (5 year periods),63166040,Per thousand children exposed in period in age group,,,,
"Standard error of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday",3,E,Rate,0,Child mortality (4q1) rates for five-year periods - standard error,CM_ECMT_C_CME,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCCME,,,,Child mortality (5 year periods) - standard error,63166041,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday",3,E,Rate,0,Child mortality (4q1) rates for five-year periods - relative error,CM_ECMT_C_CMX,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCCMX,,,,Child mortality (5 year periods) - relative error,63166042,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate minus 2 standard errors",0,C,Rate,0,Child mortality (4q1) rates for five-year periods - CI lower bound (-2SE),CM_ECMT_C_CML,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCCML,,,,Child mortality (5 year periods) - CI lower bound (-2SE),63166043,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate plus 2 standard errors",0,C,Rate,0,Child mortality (4q1) rates for five-year periods - CI upper bound (+2SE),CM_ECMT_C_CMU,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCCMU,,,,Child mortality (5 year periods) - CI upper bound (+2SE),63166044,Per thousand children exposed in period in age group,,,,
"Probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births",0,I,Rate,0,Under-5 mortality (5q0) rates for five-year periods,CM_ECMT_C_U5M,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCU5M,70254004,75,,Under-five mortality rate (5 year periods),63166050,Per thousand children exposed in period in age group,,,,
"Standard error of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births",3,E,Rate,0,Under-5 mortality (5q0) rates for five-year periods - standard error,CM_ECMT_C_U5E,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCU5E,,,,Under-five mortality rate (5 year periods) - standard error,63166051,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births",3,E,Rate,0,Under-5 mortality (5q0) rates for five-year periods - relative error,CM_ECMT_C_U5X,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCU5X,,,,Under-five mortality rate (5 year periods) - relative error,63166052,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births calculated as the under-five mortality rate minus 2 standard errors",0,C,Rate,0,Under-5 mortality (5q0) rates for five-year periods - CI lower bound (-2SE),CM_ECMT_C_U5L,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCU5L,,,,Under-five mortality rate (5 year periods) - CI lower bound (-2SE),63166053,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births calculated as the under-five mortality rate plus 2 standard errors",0,C,Rate,0,Under-5 mortality (5q0) rates for five-year periods - CI upper bound (+2SE),CM_ECMT_C_U5U,Infant and Child Mortality,,Early childhood mortality rates (5 year),Children,CMECMTCU5U,,,,Under-five mortality rate (5 year periods) - CI upper bound (+2SE),63166054,Per thousand children exposed in period in age group,,,,
"Probability of dying in the first month of life in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",0,I,Rate,0,Neonatal mortality rate,CM_ECMR_C_NNR,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCNNR,70254000,"75, 77, 7, 80, 86",,Neonatal mortality rate,63206010,Per thousand children exposed in period in age group,,,,
"Standard error of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Neonatal mortality rate - standard error,CM_ECMR_C_NNE,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCNNE,,,,Neonatal mortality rate - standard error,63206011,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Neonatal mortality rate - relative error,CM_ECMR_C_NNX,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCNNX,,,,Neonatal mortality rate - relative error,63206012,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate minus 2 standard errors",0,C,Rate,0,Neonatal mortality rate - CI lower bound (-2SE),CM_ECMR_C_NNL,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCNNL,,,,Neonatal mortality rate - CI lower bound (-2SE),63206013,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate plus 2 standard errors",0,C,Rate,0,Neonatal mortality rate - CI upper bound (+2SE),CM_ECMR_C_NNU,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCNNU,,,,Neonatal mortality rate - CI upper bound (+2SE),63206014,Per thousand children exposed in period in age group,,,,
"Probability of dying after the first month of life and before the first birthday in the five or ten years preceding the survey, per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",0,I,Rate,0,Postneonatal mortality rate,CM_ECMR_C_PNR,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCPNR,70254001,"75, 77, 7, 86",,Postneonatal mortality rate,63206020,Per thousand children exposed in period in age group,,,,
"Standard error of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates",3,E,Rate,0,Postneonatal mortality - standard error,CM_ECMR_C_PNE,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCPNE,,,,Postneonatal mortality - standard error,63206021,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates",3,E,Rate,0,Postneonatal mortality - relative error,CM_ECMR_C_PNX,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCPNX,,,,Postneonatal mortality - relative error,63206022,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate minus 2 standard errors",0,C,Rate,0,Postneonatal mortality - CI lower bound (-2SE),CM_ECMR_C_PNL,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCPNL,,,,Postneonatal mortality - CI lower bound (-2SE),63206023,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate plus 2 standard errors",0,C,Rate,0,Postneonatal mortality - CI upper bound (+2SE),CM_ECMR_C_PNU,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCPNU,,,,Postneonatal mortality - CI upper bound (+2SE),63206024,Per thousand children exposed in period in age group,,,,
"Probability of dying before the first birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",0,I,Rate,1,Infant mortality rate,CM_ECMR_C_IMR,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCIMR,70254002,"75, 0, 1, 77, 7, 86",,Infant mortality rate,63206030,Per thousand children exposed in period in age group,70,,,
"Standard error of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Infant mortality rate - standard error,CM_ECMR_C_IME,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCIME,,,,Infant mortality rate - standard error,63206031,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Infant mortality rate - relative error,CM_ECMR_C_IMX,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCIMX,,,,Infant mortality rate - relative error,63206032,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the infant mortality rate minus 2 standard errors",0,C,Rate,0,Infant mortality rate - CI lower bound (-2SE),CM_ECMR_C_IML,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCIML,,,,Infant mortality rate - CI lower bound (-2SE),63206033,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the infant mortality rate plus 2 standard errors",0,C,Rate,0,Infant mortality rate - CI upper bound (+2SE),CM_ECMR_C_IMU,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCIMU,,,,Infant mortality rate - CI upper bound (+2SE),63206034,Per thousand children exposed in period in age group,,,,
"Probability of dying between the first birthday and the fifth birthday in the five or ten years preceding the survey), per 1,000 children surviving to their first birthday. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",0,I,Rate,0,Child mortality rate,CM_ECMR_C_CMR,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCCMR,70254003,"75, 77, 7, 86",,Child mortality rate,63206040,Per thousand children exposed in period in age group,,,,
"Standard error of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday",3,E,Rate,0,Child mortality - standard error,CM_ECMR_C_CME,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCCME,,,,Child mortality - standard error,63206041,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday",3,E,Rate,0,Child mortality - relative error,CM_ECMR_C_CMX,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCCMX,,,,Child mortality - relative error,63206042,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate minus 2 standard errors",0,C,Rate,0,Child mortality - CI lower bound (-2SE),CM_ECMR_C_CML,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCCML,,,,Child mortality - CI lower bound (-2SE),63206043,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate plus 2 standard errors",0,C,Rate,0,Child mortality - CI upper bound (+2SE),CM_ECMR_C_CMU,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCCMU,,,,Child mortality - CI upper bound (+2SE),63206044,Per thousand children exposed in period in age group,,,,
"Probability of dying before the fifth birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",0,I,Rate,1,Under-five mortality rate,CM_ECMR_C_U5M,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCU5M,70254004,"75, 0, 1, 77, 5, 7, 80, 86",,Under-five mortality rate,63206050,Per thousand children exposed in period in age group,80,,,
"Standard error of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Under-five mortality rate - standard error,CM_ECMR_C_U5E,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCU5E,,,,Under-five mortality rate - standard error,63206051,Per thousand children exposed in period in age group,,,,
"Relative error of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births",3,E,Rate,0,Under-five mortality rate - relative error,CM_ECMR_C_U5X,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCU5X,,,,Under-five mortality rate - relative error,63206052,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the under-five mortality rate minus 2 standard errors",0,C,Rate,0,Under-five mortality rate - CI lower bound (-2SE),CM_ECMR_C_U5L,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCU5L,,,,Under-five mortality rate - CI lower bound (-2SE),63206053,Per thousand children exposed in period in age group,,,,
"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the under-five mortality rate plus 2 standard errors",0,C,Rate,0,Under-five mortality rate - CI upper bound (+2SE),CM_ECMR_C_U5U,Infant and Child Mortality,,Early childhood mortality rates,Children,CMECMRCU5U,,,,Under-five mortality rate - CI upper bound (+2SE),63206054,Per thousand children exposed in period in age group,,,,
Number of stillbirths for the five-year period preceding the survey. Stillbirths are fetal deaths in pregnancies of 7 months or more.,0,I,Number,0,Number of stillbirths,CM_PNMR_C_NSB,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCNSB,135252001,75,,Stillbirths,63236010,Number of pregnancies 7+ months,,,,
"Stillbirth rate for the five-year period preceding the survey per 1,000 pregnancies of 7+ months duration. Stillbirths are fetal deaths in pregnancies of 7 months or more.",0,I,Rate,0,Stillbirth rate,CM_PNMR_C_SBR,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCSBR,,,CM_PNMR_C_NUM,Stillbirth rate,63236015,Number of pregnancies 7+ months,,,CM_PNMR_C_UNW,
Number of early neonatal deaths for the five-year period preceding the survey. Early neonatal deaths are deaths at age 0-6 days among live-born children.,0,I,Number,0,Number of early neonatal deaths,CM_PNMR_C_NEN,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCNEN,135252002,75,,Early neonatal deaths,63236020,Number of pregnancies 7+ months,,,,
"Early neonatal mortality rate for the five-year period preceding the survey per 1,000 live births.",0,I,Rate,0,Early neonatal mortality rate,CM_PNMR_C_ENR,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCENR,,,,Early neonatal mortality rate,63236025,Number of live births,,,,
"Perinatal mortality rate for the five-year period preceding the survey, defined as the sum of the stillbirths and early neonatal deaths divided by the number of pregnancies of 7 or months' duration, expressed per 1,000 pregnancies.",0,I,Rate,0,Perinatal mortality rate,CM_PNMR_C_PMR,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCPMR,135252003,75,CM_PNMR_C_NUM,Perinatal mortality rate (5 years),63236030,Number of pregnancies 7+ months,,,CM_PNMR_C_UNW,
Number of pregnancies of 7+ months duration in the five-year period preceding the survey,0,D,Number,0,Number of pregnancies of 7+ months duration,CM_PNMR_C_NUM,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCNUM,135252004,75,,Number of pregnancies of 7+ months duration,63236040,Number of pregnancies 7+ months,,,CM_PNMR_C_UNW,
Number of pregnancies of 7+ months duration in the five-year period preceding the survey (unweighted),0,U,Number,0,Number of pregnancies of 7+ months duration (unweighted),CM_PNMR_C_UNW,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCUNW,,75,CM_PNMR_C_NUM,Number of pregnancies of 7+ months duration (unweighted),63236050,Number of pregnancies 7+ months,,,,
Number of live births in the five-year period preceding the survey (unweighted),0,U,Number,0,Number of live births (unweighted),CM_PNMR_C_UNN,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCUNN,,,,Number of live births (unweighted),63236055,Number of pregnancies 7+ months,,,,
Ratio of the stillbirths to the early neonatal deaths for the five years preceding the survey.,2,I,Ratio,0,Stillbirths to early neonatal deaths,CM_PNMR_C_RSE,Infant and Child Mortality,,Perinatal mortality,Children,CMPNMRCRSE,,,CM_PNMR_C_NSB,Ratio of stillbirths to early neonatal deaths,63236060,Number of early neonatal deaths,,,,
Percentage of children born in the last five years preceding the survey not in any risk category,1,I,Percent,0,Births not in any high-risk category,CM_HRFB_C_NON,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCNON,73250000,,CM_HRFB_C_NUM,High-risk births: Not in any risk category,63266010,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey which are first births,1,I,Percent,0,Births in unavoidable risk category: First-order births between ages 18 and 34,CM_HRFB_C_FOB,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCFOB,73250001,,CM_HRFB_C_NUM,High-risk births: First birth,63266020,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age < 18,1,I,Percent,0,Births in single high-risk category: Mother's age <18 ,CM_HRFB_C_A18,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA18,73250002,,CM_HRFB_C_NUM,High-risk births: Mother's age < 18,63266030,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age > 34,1,I,Percent,0,Births in single high-risk category: Mother's age >34 ,CM_HRFB_C_A34,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA34,73250003,,CM_HRFB_C_NUM,High-risk births: Mother's age > 34,63266040,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey with a birth interval < 24 months,1,I,Percent,0,Births in single high-risk category: Birth interval <24 months ,CM_HRFB_C_B24,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCB24,73250004,,CM_HRFB_C_NUM,High-risk births: Birth interval < 24 months,63266050,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey with a birth order > 3,1,I,Percent,0,Births in single high-risk category: Birth order >3 ,CM_HRFB_C_BO3,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCBO3,73250005,,CM_HRFB_C_NUM,High-risk births: Birth order > 3,63266060,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey in a single risk category,1,I,Percent,0,Births in single high-risk category: Subtotal,CM_HRFB_C_SNG,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCSNG,73250006,,CM_HRFB_C_NUM,High-risk births: Single risk category,63266070,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months,1,I,Percent,0,Births in multiple high-risk category: Age <18 and birth interval <24 months,CM_HRFB_C_A1B,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA1B,73250007,,CM_HRFB_C_NUM,High-risk births: Age < 18 & birth interval < 24 months,63266080,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months,1,I,Percent,0,Births in multiple high-risk category: Age >34 and birth interval <24 months ,CM_HRFB_C_A2B,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA2B,73250008,,CM_HRFB_C_NUM,High-risk births: Age > 34 & birth interval < 24 months,63266090,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth order > 3,1,I,Percent,0,Births in multiple high-risk category: Age >34 and birth order >3 ,CM_HRFB_C_ABO,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCABO,73250009,,CM_HRFB_C_NUM,High-risk births: Age > 34 & birth order > 3,63266100,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 and birth order > 3,1,I,Percent,0,Births in multiple high-risk category: Age >34 and birth interval <24 months and birth order >3 ,CM_HRFB_C_A3B,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA3B,73250010,,CM_HRFB_C_NUM,"High-risk births: Age > 34, birth interval < 24 and birth order > 3",63266110,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey with a birth interval < 24 and a birth order > 3,1,I,Percent,0,Births in multiple high-risk category: Birth interval <24 months and birth order >3 ,CM_HRFB_C_BIO,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCBIO,73250011,,CM_HRFB_C_NUM,High-risk births: Birth interval < 24 & birth order > 3,63266120,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey in multiple risk categories,1,I,Percent,0,Births in multiple high-risk category: Subtotal ,CM_HRFB_C_MLT,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCMLT,73250012,,CM_HRFB_C_NUM,High-risk births: Multiple risk categories,63266130,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey in any risk category,1,I,Percent,0,Births in any avoidable high-risk category,CM_HRFB_C_ANY,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCANY,73250013,,CM_HRFB_C_NUM,High-risk births: In any avoidable risk category,63266140,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age < 18,1,I,Percent,0,Births in high-risk category: Mother's age <18 subtotal,CM_HRFB_C_A1S,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA1S,,,CM_HRFB_C_NUM,High-risk births: Mother's age < 18 subtotal,63266150,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey to mothers age > 34,1,I,Percent,0,Births in high-risk category: Mother's age >34 subtotal,CM_HRFB_C_A3S,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCA3S,,,CM_HRFB_C_NUM,High-risk births: Mother's age > 34 subtotal,63266160,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey with a birth interval < 24 months,1,I,Percent,0,Births in high-risk category: Birth interval <24 months subtotal,CM_HRFB_C_B1S,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCB1S,,,CM_HRFB_C_NUM,High-risk births: Birth interval < 24 months subtotal,63266170,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey with a birth order > 3,1,I,Percent,0,Births in high-risk category: Birth order >3 subtotal,CM_HRFB_C_B3S,Infant and Child Mortality,CM_HRFB_C_TOT,High-risk fertility behaviour: births,Children,CMHRFBCB3S,,,CM_HRFB_C_NUM,High-risk births: Birth order > 3 subtotal,63266180,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Percentage of children born in the last five years preceding the survey: Total,1,T,Percent,0,Total ,CM_HRFB_C_TOT,Infant and Child Mortality,,High-risk fertility behaviour: births,Children,CMHRFBCTOT,73149000,,CM_HRFB_C_NUM,High risk births: Total,63266190,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Number of children born in the last five years preceding the survey,0,D,Number,0,Number of births,CM_HRFB_C_NUM,Infant and Child Mortality,,High-risk fertility behaviour: births,Children,CMHRFBCNUM,73149001,,,Number of children born in the last five years,63266200,Births in five years preceding survey,,,CM_HRFB_C_UNW,
Number of children born in the last five years preceding the survey (unweighted),0,U,Number,0,Number of births (unweighted),CM_HRFB_C_UNW,Infant and Child Mortality,,High-risk fertility behaviour: births,Children,CMHRFBCUNW,,,CM_HRFB_C_NUM,Number of children born in the last five years (unweighted),63266210,Births in five years preceding survey,,,,
Risk ratio of children born in the last five years preceding the survey not in any high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births not in any high-risk category,CM_HRFR_C_NON,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCNON,73250000,,,High-risk fertility risk ratio: Not in any risk category,63306010,Births in five years preceding survey,,,CM_HRFR_U_NON,
Risk ratio of children born in the last five years preceding the survey which are first births. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in unavoidable risk category: First-order births between ages 18 and 34,CM_HRFR_C_FOB,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCFOB,73250001,,,High-risk fertility risk ratio: First birth,63306020,Births in five years preceding survey,,,CM_HRFR_U_FOB,
Risk ratio of children born in the last five years preceding the survey to mothers age < 18. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in single high-risk category: Mother's age <18 ,CM_HRFR_C_A18,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA18,73250002,,,High-risk fertility risk ratio: Mother's age < 18,63306030,Births in five years preceding survey,,,CM_HRFR_U_A18,
Risk ratio of children born in the last five years preceding the survey to mothers age > 34. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in single high-risk category: Mother's age >34 ,CM_HRFR_C_A34,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA34,73250003,,,High-risk fertility risk ratio: Mother's age > 34,63306040,Births in five years preceding survey,,,CM_HRFR_U_A34,
